Date;Day;Session;Video #;Videolink;Videolength;Timestamp;Timelink;Player Level;Stronghold Level;Tag;Action;Info;Shortage1;Shortage2;Shortage3;Ended1;Ended2;Limits;New expirience;Offer Time;Team Power;Name;Level;Rarity;Stage2;Provimce;Stage;Result;Gems;Gems+;Gems-;Gems Balance
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:00;0:00:00;1;1;Idle;Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:21;0:00:21;1;1;Player;Privacy Policy;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:21;0:00:21;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:35;0:00:35;1;1;Campaign;Start Battle;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:37;0:00:37;1;1;Tutorial;Advice about moves;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:41;0:00:41;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:47;0:00:47;1;1;Tutorial;Advice for use hero skill;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:54;0:00:54;1;1;Campaign;Finish Battle;;;;;;;;;;;;;;;;;Victory;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:00:56;0:00:56;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:06;0:01:06;1;1;Campaign;Start Battle;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:07;0:01:07;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:14;0:01:14;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:21;0:01:21;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:25;0:01:25;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:35;0:01:35;1;1;Campaign;Finish Battle;;;;;;;;;;;;;;;;;Defeat;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:37;0:01:37;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:01:57;0:01:57;1;1;Campaign;Start Battle;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:00;0:02:00;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:04;0:02:04;1;1;Tutorial;Dragon Shield;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:10;0:02:10;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:16;0:02:16;1;1;Tutorial;Combination of 5 elements - Power Shard;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:24;0:02:24;1;1;Campaign;Finish Battle;;;;;;;;;;;;;;;;;Victory;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:27;0:02:27;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:34;0:02:34;1;1;Player;Enter Name;;;;;;;;1;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:02:43;0:02:43;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;0
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:05;0:03:05;1;1;Base;Start;;;;;;;;;;;;;;;;;;100;100;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:05;0:03:05;1;1;Tutorial;Building;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:07;0:03:07;1;1;Tutorial;Mine;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:07;0:03:07;1;1;Building;Start;;;;;;;;1;;;Mine;0;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:08;0:03:08;1;1;Tutorial;Instant building;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:08;0:03:08;1;1;Building;Speed Up;;;;;;;;;;;Mine;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:08;0:03:08;1;1;Building;Finish;;;;;;;;;;;Mine;1;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:12;0:03:12;1;1;Tutorial;Iron Storage;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:14;0:03:14;1;1;Building;Start ;;;;;;;;1;;;Iron Storage;0;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:16;0:03:16;1;1;Building;Speed Up;;;;;;;;;;;Iron Storage;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:16;0:03:16;1;1;Building;Finish;;;;;;;;;;;Iron Storage;1;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:17;0:03:17;1;1;Tutorial;Collecting of iron;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:18;0:03:18;1;1;Gathering;Iron;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:19;0:03:19;1;1;Tutorial;House;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:21;0:03:21;1;1;Building;Start;;;;;;;;1;;;House;0;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:23;0:03:23;1;1;Building;Speed Up;;;;;;;;;;;House;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:03:23;0:03:23;1;1;Building;Finish;;;;;;;;;;;House;1;;;;;;;0;0;100
