Date;Day;Session;Video #;Videolink;Videolength;Timestamp;Timelink;Player Level;Stronghold Level;Tag;Action;Info;Shortage1;Shortage2;Ended1;Ended2;Limits;New Experience;Offer Time;Team Power;Name;Level;Rarity;Stage;Result;Gems;Gems+;Gems-;Gems Balance
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:00;0:00:00;1;1;Idle;Start;Loading;;;;;;;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:12;0:00:12;1;1;Player;Pop-Up;Accept the Terms of Service;;;;;;1;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:15;0:00:15;1;1;Campaign;Dialog Start;начало игры, начало истории;;;;;;1;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:25;0:00:25;1;1;Campaign;Start Battle;;;;;;;1;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:26;0:00:26;1;1;Tutorial;Advice about moves;;;;;;;1;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:30;0:00:30;1;1;Tutorial;Advice about moves;;;;;;;;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:36;0:00:36;1;1;Tutorial;Advice for use hero skill;;;;;;;1;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:45;0:00:45;1;1;Campaign;Finish Battle;;;;;;;1;;;;;;;Victory;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:47;0:00:47;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;0;0;0
27.10.2020;1;1;1,1;https://youtu.be/orua1CzWdZU?list=PLTjhk5BwsiVUqtG2USsIOJHGiONtxAbD_;0:32:35;0:00:53;0:00:53;1;1;Campaign;Start Battle;;;;;;;;;;;;;;;;0;0;0
